created model
Epoch 52/200 | Train Loss: 1.9641 | Val Loss: 4.9559 | Style Acc: 0.5648 | Artist Acc: 0.3764
Epoch 53/200 | Train Loss: 1.9422 | Val Loss: 4.9574 | Style Acc: 0.5654 | Artist Acc: 0.3794
Epoch 54/200 | Train Loss: 1.9032 | Val Loss: 4.9818 | Style Acc: 0.5681 | Artist Acc: 0.3809
Epoch 55/200 | Train Loss: 1.8614 | Val Loss: 4.9882 | Style Acc: 0.5680 | Artist Acc: 0.3821
Epoch 56/200 | Train Loss: 1.8385 | Val Loss: 4.9410 | Style Acc: 0.5729 | Artist Acc: 0.3813
Epoch 57/200 | Train Loss: 1.7884 | Val Loss: 5.0581 | Style Acc: 0.5694 | Artist Acc: 0.3773
Epoch 58/200 | Train Loss: 1.7721 | Val Loss: 5.0336 | Style Acc: 0.5618 | Artist Acc: 0.3778
Epoch 59/200 | Train Loss: 1.7287 | Val Loss: 5.0158 | Style Acc: 0.5696 | Artist Acc: 0.3803
Epoch 60/200 | Train Loss: 1.7021 | Val Loss: 5.0654 | Style Acc: 0.5685 | Artist Acc: 0.3750
Epoch 61/200 | Train Loss: 1.6865 | Val Loss: 5.0980 | Style Acc: 0.5688 | Artist Acc: 0.3804
Epoch 62/200 | Train Loss: 1.6513 | Val Loss: 5.0851 | Style Acc: 0.5734 | Artist Acc: 0.3830
Epoch 63/200 | Train Loss: 1.6161 | Val Loss: 5.1053 | Style Acc: 0.5735 | Artist Acc: 0.3808
Epoch 64/200 | Train Loss: 1.5928 | Val Loss: 5.1180 | Style Acc: 0.5724 | Artist Acc: 0.3838
Epoch 65/200 | Train Loss: 1.5583 | Val Loss: 5.1375 | Style Acc: 0.5685 | Artist Acc: 0.3858
Epoch 66/200 | Train Loss: 1.5434 | Val Loss: 5.1993 | Style Acc: 0.5685 | Artist Acc: 0.3808
Epoch 67/200 | Train Loss: 1.5178 | Val Loss: 5.2466 | Style Acc: 0.5707 | Artist Acc: 0.3808
Epoch 68/200 | Train Loss: 1.4892 | Val Loss: 5.1267 | Style Acc: 0.5677 | Artist Acc: 0.3854
Epoch 69/200 | Train Loss: 1.4575 | Val Loss: 5.2419 | Style Acc: 0.5715 | Artist Acc: 0.3807
Epoch 70/200 | Train Loss: 1.4399 | Val Loss: 5.3031 | Style Acc: 0.5677 | Artist Acc: 0.3750
Epoch 71/200 | Train Loss: 1.4060 | Val Loss: 5.2980 | Style Acc: 0.5699 | Artist Acc: 0.3857
Epoch 72/200 | Train Loss: 1.3939 | Val Loss: 5.2903 | Style Acc: 0.5672 | Artist Acc: 0.3859
Epoch 73/200 | Train Loss: 1.3769 | Val Loss: 5.3110 | Style Acc: 0.5715 | Artist Acc: 0.3837
Epoch 74/200 | Train Loss: 1.3405 | Val Loss: 5.3332 | Style Acc: 0.5626 | Artist Acc: 0.3854
Epoch 75/200 | Train Loss: 1.3252 | Val Loss: 5.3550 | Style Acc: 0.5654 | Artist Acc: 0.3850
Epoch 76/200 | Train Loss: 1.3046 | Val Loss: 5.3013 | Style Acc: 0.5687 | Artist Acc: 0.3886
Epoch 77/200 | Train Loss: 1.2886 | Val Loss: 5.4022 | Style Acc: 0.5677 | Artist Acc: 0.3819
Epoch 78/200 | Train Loss: 1.2589 | Val Loss: 5.3757 | Style Acc: 0.5728 | Artist Acc: 0.3890
Epoch 79/200 | Train Loss: 1.2505 | Val Loss: 5.4433 | Style Acc: 0.5659 | Artist Acc: 0.3827
Epoch 80/200 | Train Loss: 1.2346 | Val Loss: 5.4406 | Style Acc: 0.5712 | Artist Acc: 0.3861
Epoch 81/200 | Train Loss: 1.2143 | Val Loss: 5.3979 | Style Acc: 0.5725 | Artist Acc: 0.3888
Epoch 82/200 | Train Loss: 1.1945 | Val Loss: 5.4978 | Style Acc: 0.5724 | Artist Acc: 0.3859
Epoch 83/200 | Train Loss: 1.1840 | Val Loss: 5.4954 | Style Acc: 0.5715 | Artist Acc: 0.3851
Epoch 84/200 | Train Loss: 1.1631 | Val Loss: 5.5015 | Style Acc: 0.5737 | Artist Acc: 0.3851
Epoch 85/200 | Train Loss: 1.1501 | Val Loss: 5.5184 | Style Acc: 0.5718 | Artist Acc: 0.3851
Epoch 86/200 | Train Loss: 1.1214 | Val Loss: 5.5168 | Style Acc: 0.5671 | Artist Acc: 0.3841
Epoch 87/200 | Train Loss: 1.1069 | Val Loss: 5.4934 | Style Acc: 0.5713 | Artist Acc: 0.3904
Epoch 88/200 | Train Loss: 1.0927 | Val Loss: 5.5647 | Style Acc: 0.5761 | Artist Acc: 0.3869
