created model
phase1 Epoch 1/200 | Train Loss: 8.8150 | Val Loss: 7.8640 | Style Acc: 0.2950 | Artist Acc: 0.0542
phase1 Epoch 2/200 | Train Loss: 7.4811 | Val Loss: 7.0319 | Style Acc: 0.3781 | Artist Acc: 0.0992
phase1 Epoch 3/200 | Train Loss: 6.9161 | Val Loss: 6.5783 | Style Acc: 0.4097 | Artist Acc: 0.1236
phase1 Epoch 4/200 | Train Loss: 6.5504 | Val Loss: 6.2831 | Style Acc: 0.4361 | Artist Acc: 0.1447
phase1 Epoch 5/200 | Train Loss: 6.2818 | Val Loss: 6.0761 | Style Acc: 0.4503 | Artist Acc: 0.1629
phase1 Epoch 6/200 | Train Loss: 6.0443 | Val Loss: 5.8696 | Style Acc: 0.4639 | Artist Acc: 0.1798
phase1 Epoch 7/200 | Train Loss: 5.8449 | Val Loss: 5.6973 | Style Acc: 0.4758 | Artist Acc: 0.1960
phase1 Epoch 8/200 | Train Loss: 5.6743 | Val Loss: 5.5643 | Style Acc: 0.4936 | Artist Acc: 0.2103
phase1 Epoch 9/200 | Train Loss: 5.5187 | Val Loss: 5.4391 | Style Acc: 0.5037 | Artist Acc: 0.2207
phase1 Epoch 10/200 | Train Loss: 5.3857 | Val Loss: 5.3749 | Style Acc: 0.5027 | Artist Acc: 0.2287
phase1 Epoch 11/200 | Train Loss: 5.2700 | Val Loss: 5.2627 | Style Acc: 0.5129 | Artist Acc: 0.2443
phase1 Epoch 12/200 | Train Loss: 5.1565 | Val Loss: 5.1775 | Style Acc: 0.5186 | Artist Acc: 0.2539
phase1 Epoch 13/200 | Train Loss: 5.0561 | Val Loss: 5.1348 | Style Acc: 0.5204 | Artist Acc: 0.2623
phase1 Epoch 14/200 | Train Loss: 4.9527 | Val Loss: 5.0068 | Style Acc: 0.5317 | Artist Acc: 0.2761
phase1 Epoch 15/200 | Train Loss: 4.8718 | Val Loss: 4.9619 | Style Acc: 0.5299 | Artist Acc: 0.2800
phase1 Epoch 16/200 | Train Loss: 4.7787 | Val Loss: 4.9212 | Style Acc: 0.5369 | Artist Acc: 0.2891
phase1 Epoch 17/200 | Train Loss: 4.6934 | Val Loss: 4.8564 | Style Acc: 0.5397 | Artist Acc: 0.2935
phase1 Epoch 18/200 | Train Loss: 4.6203 | Val Loss: 4.7735 | Style Acc: 0.5481 | Artist Acc: 0.3001
phase1 Epoch 19/200 | Train Loss: 4.5529 | Val Loss: 4.7721 | Style Acc: 0.5446 | Artist Acc: 0.3037
phase1 Epoch 20/200 | Train Loss: 4.4785 | Val Loss: 4.7951 | Style Acc: 0.5434 | Artist Acc: 0.3046
phase1 Epoch 21/200 | Train Loss: 4.3987 | Val Loss: 4.6615 | Style Acc: 0.5538 | Artist Acc: 0.3185
phase1 Epoch 22/200 | Train Loss: 4.3399 | Val Loss: 4.6802 | Style Acc: 0.5542 | Artist Acc: 0.3167
phase1 Epoch 23/200 | Train Loss: 4.2824 | Val Loss: 4.6603 | Style Acc: 0.5553 | Artist Acc: 0.3175
phase1 Epoch 24/200 | Train Loss: 4.2181 | Val Loss: 4.5675 | Style Acc: 0.5642 | Artist Acc: 0.3292
phase1 Epoch 25/200 | Train Loss: 4.1537 | Val Loss: 4.5484 | Style Acc: 0.5680 | Artist Acc: 0.3336
phase1 Epoch 26/200 | Train Loss: 4.0989 | Val Loss: 4.5049 | Style Acc: 0.5692 | Artist Acc: 0.3414
phase1 Epoch 27/200 | Train Loss: 4.0481 | Val Loss: 4.5103 | Style Acc: 0.5682 | Artist Acc: 0.3423
phase1 Epoch 28/200 | Train Loss: 3.9989 | Val Loss: 4.4847 | Style Acc: 0.5718 | Artist Acc: 0.3435
phase1 Epoch 29/200 | Train Loss: 3.9570 | Val Loss: 4.4977 | Style Acc: 0.5622 | Artist Acc: 0.3428
phase1 Epoch 30/200 | Train Loss: 3.8829 | Val Loss: 4.4829 | Style Acc: 0.5644 | Artist Acc: 0.3473
phase1 Epoch 31/200 | Train Loss: 3.8416 | Val Loss: 4.4042 | Style Acc: 0.5758 | Artist Acc: 0.3536
phase1 Epoch 32/200 | Train Loss: 3.7944 | Val Loss: 4.3913 | Style Acc: 0.5742 | Artist Acc: 0.3558
phase1 Epoch 33/200 | Train Loss: 3.7538 | Val Loss: 4.3484 | Style Acc: 0.5782 | Artist Acc: 0.3643
phase1 Epoch 34/200 | Train Loss: 3.7125 | Val Loss: 4.3398 | Style Acc: 0.5833 | Artist Acc: 0.3691
phase1 Epoch 35/200 | Train Loss: 3.6705 | Val Loss: 4.3360 | Style Acc: 0.5803 | Artist Acc: 0.3680
phase1 Epoch 36/200 | Train Loss: 3.6252 | Val Loss: 4.3737 | Style Acc: 0.5800 | Artist Acc: 0.3650
phase1 Epoch 37/200 | Train Loss: 3.5815 | Val Loss: 4.3165 | Style Acc: 0.5838 | Artist Acc: 0.3733
phase1 Epoch 38/200 | Train Loss: 3.5347 | Val Loss: 4.2950 | Style Acc: 0.5873 | Artist Acc: 0.3778
phase1 Epoch 39/200 | Train Loss: 3.5001 | Val Loss: 4.2925 | Style Acc: 0.5876 | Artist Acc: 0.3813
phase1 Epoch 40/200 | Train Loss: 3.4658 | Val Loss: 4.2945 | Style Acc: 0.5858 | Artist Acc: 0.3834
phase1 Epoch 41/200 | Train Loss: 3.4389 | Val Loss: 4.3024 | Style Acc: 0.5873 | Artist Acc: 0.3814
phase1 Epoch 42/200 | Train Loss: 3.3894 | Val Loss: 4.2705 | Style Acc: 0.5836 | Artist Acc: 0.3845
phase1 Epoch 43/200 | Train Loss: 3.3594 | Val Loss: 4.2688 | Style Acc: 0.5860 | Artist Acc: 0.3830
phase1 Epoch 44/200 | Train Loss: 3.3214 | Val Loss: 4.3229 | Style Acc: 0.5810 | Artist Acc: 0.3784
phase1 Epoch 45/200 | Train Loss: 3.2842 | Val Loss: 4.2726 | Style Acc: 0.5873 | Artist Acc: 0.3859
