phase,epoch,train_loss,val_loss,style_acc,artist_acc,lr
phase1,1,8.814955501930386,7.864004909992218,0.2949852507374631,0.05420353982300885,9.999383162408304e-05
phase1,2,7.48114969590131,7.0318736881017685,0.3780727630285152,0.09918879056047197,9.997532801828658e-05
phase1,3,6.916121415530934,6.578272491693497,0.40966076696165193,0.1236479842674533,9.994449374809851e-05
phase1,4,6.550428659775678,6.283063635230064,0.436086529006883,0.14466568338249755,9.990133642141359e-05
phase1,5,6.281809629178515,6.076078802347183,0.4503441494591937,0.16285644051130777,9.98458666866564e-05
phase1,6,6.04428113675585,5.869645491242409,0.4638643067846608,0.17981809242871188,9.9778098230154e-05
phase1,7,5.844854212742225,5.697341278195381,0.4757866273352999,0.19604228121927236,9.9698047772759e-05
phase1,8,5.674310755262188,5.5643027275800705,0.4936086529006883,0.21029990167158308,9.96057350657239e-05
phase1,9,5.518731876448089,5.439108818769455,0.5036873156342183,0.2207472959685349,9.950118288582787e-05
phase1,10,5.385659238403918,5.37488417327404,0.5027040314650935,0.22873647984267453,9.938441702975689e-05
phase1,11,5.269977449903301,5.262667551636696,0.512905604719764,0.24434611602753195,9.925546630773869e-05
phase1,12,5.156480205760283,5.177478536963463,0.518559488692232,0.2539331366764995,9.911436253643444e-05
phase1,13,5.0560725754382565,5.13483664393425,0.5204031465093412,0.26229105211406095,9.896114053108829e-05
phase1,14,4.952662853166169,5.006831243634224,0.5317109144542773,0.27605703048180924,9.879583809693738e-05
phase1,15,4.8717576008217005,4.961877688765526,0.5298672566371682,0.27999016715830877,9.861849601988384e-05
phase1,16,4.778715204725079,4.921194791793823,0.5368731563421829,0.2890855457227139,9.842915805643157e-05
phase1,17,4.693361095353668,4.856412425637245,0.5397000983284169,0.2935103244837758,9.822787092288992e-05
phase1,18,4.620291820226931,4.773496061563492,0.5480580137659784,0.3001474926253687,9.801468428384718e-05
phase1,19,4.552860304888557,4.772068843245506,0.5446165191740413,0.3037118977384464,9.778965073991652e-05
phase1,20,4.478512840644986,4.795112028717995,0.5433874139626352,0.30457227138643067,9.75528258147577e-05
phase1,21,4.398660996380975,4.6614881455898285,0.553834808259587,0.31846116027531957,9.730426794137729e-05
phase1,22,4.339885322720397,4.68016292154789,0.5542035398230089,0.316740412979351,9.70440384477113e-05
phase1,23,4.2824471941181255,4.660317704081535,0.5553097345132744,0.3174778761061947,9.67722015414934e-05
phase1,24,4.218072782778273,4.567493215203285,0.5641592920353983,0.32915437561455263,9.64888242944126e-05
phase1,25,4.153668532652014,4.54844568669796,0.5679695181907571,0.33357915437561453,9.619397662556436e-05
phase1,26,4.098900229323144,4.504858762025833,0.5691986234021632,0.3414454277286136,9.588773128419907e-05
phase1,27,4.0481379667917885,4.510300546884537,0.5682153392330384,0.34230580137659783,9.557016383177228e-05
phase1,28,3.998941733790379,4.484726749360561,0.571779744346116,0.34353490658800395,9.524135262330099e-05
phase1,29,3.9570389551274916,4.497748970985413,0.5621927236971485,0.34279744346116026,9.49013787880308e-05
phase1,30,3.8829074149038276,4.482888549566269,0.5644051130776795,0.3473451327433628,9.455032620941841e-05
phase1,31,3.8415871003094844,4.404178857803345,0.5758357915437562,0.3536135693215339,9.418828150443471e-05
phase1,32,3.7944188398473404,4.391349159181118,0.5742379547689282,0.3558259587020649,9.381533400219321e-05
phase1,33,3.7537878503986435,4.348407581448555,0.5781710914454278,0.36430678466076694,9.343157572190959e-05
phase1,34,3.7124735476923925,4.339839704334736,0.5833333333333334,0.3691002949852507,9.303710135019721e-05
phase1,35,3.670483845355464,4.33598305284977,0.5802605703048181,0.36799410029498525,9.263200821770464e-05
phase1,36,3.6251940615036906,4.373678870499134,0.5800147492625368,0.36504424778761063,9.221639627510079e-05
phase1,37,3.581515812406353,4.3165475353598595,0.5838249754178958,0.37327925270403145,9.179036806841354e-05
phase1,38,3.53466916364782,4.294982545077801,0.5872664700098329,0.377826941986234,9.135402871372811e-05
phase1,39,3.5001052388957903,4.292466849088669,0.5876352015732547,0.3812684365781711,9.09074858712512e-05
phase1,40,3.465808707592534,4.294516757130623,0.5857915437561455,0.3833579154375615,9.04508497187474e-05
phase1,41,3.4389319812550263,4.302357703447342,0.5872664700098329,0.3813913470993117,8.998423292435457e-05
phase1,42,3.3894236452439253,4.270545452833176,0.5835791543756146,0.38446411012782694,8.950775061878454e-05
phase1,43,3.359440201404048,4.268795318901539,0.5860373647984267,0.3829891838741396,8.902152036691652e-05
phase1,44,3.3214029592626235,4.322943292558193,0.5809980334316618,0.37844149459193704,8.85256621387895e-05
phase1,45,3.2842249038172704,4.272642150521278,0.5872664700098329,0.3859390363815143,8.80202982800016e-05
phase1,46,3.261793461967917,4.272131092846394,0.5824729596853491,0.38446411012782694,8.750555348152302e-05
phase1,47,3.2299690573823217,4.28174564987421,0.5866519174041298,0.3887659783677483,8.698155474893052e-05
phase1,48,3.181343225404328,4.27513924986124,0.5914454277286135,0.39060963618485744,8.644843137107061e-05
phase1,49,3.171296863929898,4.287914894521236,0.584070796460177,0.38962635201573254,8.590631488815948e-05
phase1,50,3.123898090100756,4.259313628077507,0.5923058013765978,0.38839724680432647,8.53553390593274e-05
phase1,51,3.1018663696214266,4.28051184117794,0.592551622418879,0.39085545722713866,8.479563982961574e-05
phase1,52,3.072271272247913,4.227923922240734,0.5892330383480826,0.39859882005899705,8.422735529643446e-05
phase1,53,3.063100508147595,4.251414768397808,0.5918141592920354,0.39331366764995085,8.365062567548869e-05
phase1,54,3.014849126105215,4.316442094743252,0.5914454277286135,0.39257620452310715,8.306559326618262e-05
